院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
山东科技大学,山东,第101组,562,7516,,,,,,,,,,,,,,,
山东财经大学,山东,第101组,562,7420,,,,,,,,,,,,,,,
三峡大学,湖北,"第101组(经管法文专
业组)",562,7407,,,,,,,,,,,,,,,
湖南工业大学,湖南,第101组,562,7489,,,,,,,,,,,,,,,
四川外国语大学,四川,第102组,562,7350,,,,,,,,,,,,,,,
四川外国语大学,四川,第105组(政治学类),560,7948,,,,,,,,,,,,,,,
四川外国语大学,四川,第104组,558,8324,,,,,,,,,,,,,,,
四川外国语大学,四川,第103组,557,8739,,,,,,,,,,,,,,,
西安工业大学,陕西,第101组,562,7488,,,,,,,,,,,,,,,
西安科技大学,陕西,第101组,562,7493,,,,,,,,,,,,,,,
中国戏曲学院,北京,第101组,562,7501,,,,,,,,,,,,,,,
哈尔滨师范大学,黑龙江,第101组,561,7696,,,,,,,,,,,,,,,
