序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1279,江西应用技术职业学院,4136012942,江西省,赣州市,专科,江西,群A/骨干,,,三线,,,,,,,,,http://www.jxyyxy.com/,http://www.jxyyxy.com/
1280,江西现代职业技术学院,4136012943,江西省,南昌市,专科,江西,骨干,,,二线,,,,,,,,,http://www.jxxdxy.com/,http://www.jxxdxy.com/
1281,江西工业工程职业技术学院,4136012944,江西省,萍乡市,专科,江西,公办,,,五线,,,,,,,,,http://www.jxgcxy.net/,http://www.jxgcxy.net/
1282,江西机电职业技术学院,4136012976,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxjdxy.com/,http://www.jxjdxy.com/
1283,江西科技职业学院,4136013419,江西省教育厅,南昌市,专科,江西,民办,,,二线,,,,,,,,,http://www.jxkeda.com/index.html,http://www.jxkeda.com/index.html
1284,江西外语外贸职业学院,4136013422,江西省,南昌市,专科,江西,群C,,商务部、江西省,二线,,,,,,,,,http://www.jxcfs.com/,http://www.jxcfs.com/
1285,江西工业贸易职业技术学院,4136013423,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxgmxy.com/,http://www.jxgmxy.com/
1286,宜春职业技术学院,4136013424,江西省,宜春市,专科,江西,公办,,,三线,,,,,,,,,http://www.ycvc.jx.cn/,http://www.ycvc.jx.cn/
1287,江西应用工程职业学院,4136013425,江西省,萍乡市,专科,江西,公办,,,五线,,,,,,,,,http://www.jxatei.net/,http://www.jxatei.net/
1288,江西生物科技职业学院,4136013426,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxswkj.com,http://www.jxswkj.com
1289,江西建设职业技术学院,4136013427,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxjsxy.com/index_v.aspx,http://www.jxjsxy.com/index_v.aspx
1290,抚州职业技术学院,4136013428,江西省,抚州市,专科,江西,公办,,,四线,,,,,,,,,http://www.fzjsxy.cn/,http://www.fzjsxy.cn/
1291,江西中医药高等专科学校,4136013775,江西省,抚州市,专科,江西,共建,,国家中医药管理局、江西省,四线,,,,,,,,,http://www.jxtcms.net/index.php,http://www.jxtcms.net/index.php
1292,江西经济管理职业学院,4136013866,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,,
1293,江西制造职业技术学院,4136013867,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxmtc.com/,http://www.jxmtc.com/
1294,江西工程职业学院,4136013868,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxgcxy.com/,http://www.jxgcxy.com/
1295,江西青年职业学院,4136013869,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxqy.com.cn/WebFile/Default.aspx,http://www.jxqy.com.cn/WebFile/Default.aspx
1296,上饶职业技术学院,4136013870,江西省,上饶市,专科,江西,公办,,,三线,,,,,,,,,http://www.srzy.cn/,http://www.srzy.cn/
1297,江西航空职业技术学院,4136013871,江西省教育厅,南昌市,专科,江西,民办,,,二线,,,,,,,,,http://www.jhxy.com.cn/,http://www.jhxy.com.cn/
1298,江西农业工程职业学院,4136013872,江西省,宜春市,专科,江西,公办,,,三线,,,,,,,,,http://www.jxaevc.com/,http://www.jxaevc.com/
1299,赣西科技职业学院,4136013873,江西省教育厅,新余市,专科,江西,民办,,,五线,,,,,,,,,http://www.ganxidx.com/new/,http://www.ganxidx.com/new/
